,|Q|[Ah](charge),Voltage[V](charge),Capacity[mAh/g](charge),|Q|[Ah](discharge),Voltage[V](discharge),Capacity[mAh/g](discharge)
60,3.349458e-05,3.57709,9.742460732984293,3.495698e-05,4.22245,10.16782431646306
61,3.406756e-05,3.57739,9.909121582315299,3.553004e-05,4.22184,10.334508435136707
62,3.464054e-05,3.5777,10.075782431646305,3.61031e-05,4.22107,10.501192553810355
63,3.521353e-05,3.57816,10.242446189645142,3.667617e-05,4.22061,10.667879581151832
64,3.578651e-05,3.57846,10.409107038976149,3.724923e-05,4.2197,10.834563699825479
65,3.635949e-05,3.57892,10.575767888307155,3.78223e-05,4.21924,11.001250727166957
66,3.693247e-05,3.57923,10.74242873763816,3.839536e-05,4.21847,11.167934845840604
67,3.750545e-05,3.57938,10.909089586969166,3.896843e-05,4.21801,11.334621873182082
68,3.807843e-05,3.57984,11.075750436300174,3.954149e-05,4.21725,11.50130599185573
69,3.865142e-05,3.57999,11.24241419429901,4.011456e-05,4.21694,11.667993019197208
70,3.92244e-05,3.58045,11.409075043630015,4.068762e-05,4.21648,11.834677137870855
71,3.979738e-05,3.58076,11.575735892961022,4.126069e-05,4.21603,12.001364165212333
72,4.037036e-05,3.58106,11.74239674229203,4.183376e-05,4.21511,12.168051192553811
73,4.094334e-05,3.58167,11.909057591623036,4.240682e-05,4.2148,12.334735311227458
74,4.151632e-05,3.58183,12.075718440954043,4.297989e-05,4.21434,12.501422338568934
75,4.208931e-05,3.58213,12.242382198952878,4.355296e-05,4.21373,12.668109365910412
76,4.266229e-05,3.58274,12.409043048283886,4.412603e-05,4.21327,12.83479639325189
77,4.323527e-05,3.58305,12.575703897614892,4.469909e-05,4.21282,13.001480511925537
78,4.380825e-05,3.5832,12.7423647469459,4.527216e-05,4.2122,13.168167539267015
79,4.438123e-05,3.58351,12.909025596276905,4.584523e-05,4.2119,13.334854566608493
80,4.495422e-05,3.58412,13.075689354275742,4.641829e-05,4.21129,13.50153868528214
81,4.55272e-05,3.58412,13.242350203606748,4.699136e-05,4.21083,13.668225712623618
82,4.610018e-05,3.58458,13.409011052937755,4.756443e-05,4.21052,13.834912739965093
83,4.667316e-05,3.58488,13.57567190226876,4.813749e-05,4.20991,14.001596858638743
84,4.724614e-05,3.58504,13.742332751599765,4.871055e-05,4.20945,14.16828097731239
85,4.781913e-05,3.58565,13.908996509598603,4.928362e-05,4.20915,14.334968004653868
86,4.839211e-05,3.58565,14.075657358929611,4.985668e-05,4.20869,14.501652123327515
87,4.896509e-05,3.58626,14.242318208260617,5.042974e-05,4.20838,14.668336242001162
88,4.953807e-05,3.58657,14.40897905759162,5.10028e-05,4.20792,14.835020360674811
89,5.011105e-05,3.58702,14.575639906922628,5.157587e-05,4.20746,15.001707388016289
90,5.068403e-05,3.58718,14.742300756253636,5.214893e-05,4.20701,15.168391506689936
91,5.125702e-05,3.58764,14.908964514252473,5.2722e-05,4.20655,15.335078534031414
92,5.183e-05,3.58779,15.075625363583477,5.329506e-05,4.20624,15.501762652705061
93,5.240298e-05,3.58825,15.242286212914484,5.386813e-05,4.20563,15.668449680046539
94,5.297597e-05,3.58855,15.408949970913323,5.444119e-05,4.20532,15.835133798720188
95,5.354895e-05,3.58871,15.575610820244329,5.501425e-05,4.20471,16.001817917393833
96,5.412194e-05,3.58916,15.742274578243162,5.558732e-05,4.20441,16.16850494473531
97,5.469492e-05,3.58947,15.90893542757417,5.616038e-05,4.20425,16.335189063408958
98,5.52679e-05,3.58978,16.075596276905177,5.673345e-05,4.20364,16.501876090750436
99,5.584088e-05,3.59023,16.242257126236183,5.730651e-05,4.20334,16.668560209424083
100,5.641386e-05,3.59069,16.40891797556719,5.787958e-05,4.20303,16.83524723676556
101,5.698684e-05,3.59069,16.575578824898194,5.845264e-05,4.20257,17.001931355439208
102,5.755982e-05,3.59131,16.742239674229204,5.902571e-05,4.20242,17.168618382780686
103,5.813281e-05,3.59161,16.908903432228037,5.959877e-05,4.20196,17.335302501454333
104,5.870579e-05,3.59207,17.075564281559046,6.017184e-05,4.20135,17.50198952879581
105,5.927877e-05,3.59238,17.24222513089005,6.074491e-05,4.20104,17.66867655613729
106,5.985175e-05,3.59268,17.408885980221058,6.131797e-05,4.20058,17.835360674810936
107,6.042473e-05,3.59299,17.575546829552064,6.189104e-05,4.20013,18.002047702152414
108,6.099771e-05,3.59329,17.74220767888307,6.246411e-05,4.19997,18.16873472949389
109,6.157069e-05,3.5936,17.908868528214075,6.303718e-05,4.19982,18.33542175683537
110,6.214367e-05,3.59406,18.075529377545084,6.361024e-05,4.19936,18.502105875509017
111,6.271666e-05,3.59436,18.24219313554392,6.418331e-05,4.19906,18.668792902850495
112,6.328964e-05,3.59452,18.408853984874927,6.475638e-05,4.19875,18.835479930191973
113,6.386262e-05,3.59513,18.57551483420593,6.532944e-05,4.19814,19.00216404886562
114,6.44356e-05,3.59543,18.742175683536942,6.590251e-05,4.19783,19.168851076207098
115,6.500858e-05,3.59559,18.908836532867944,6.647557e-05,4.19783,19.335535194880745
116,6.558157e-05,3.59604,19.07550029086678,6.704864e-05,4.19722,19.502222222222223
117,6.615455e-05,3.59635,19.242161140197787,6.76217e-05,4.19691,19.66890634089587
118,6.672753e-05,3.59666,19.408821989528796,6.819477e-05,4.19676,19.835593368237348
119,6.730051e-05,3.59696,19.575482838859802,6.876784e-05,4.1963,20.002280395578826
120,6.78735e-05,3.59727,19.742146596858635,6.93409e-05,4.19615,20.168964514252472
121,6.844648e-05,3.59757,19.90880744618964,6.991397e-05,4.19584,20.33565154159395
122,6.901947e-05,3.59788,20.07547120418848,7.048704e-05,4.19554,20.502338568935425
123,6.959245e-05,3.59834,20.242132053519487,7.106011e-05,4.19493,20.669025596276903
124,7.016543e-05,3.59849,20.408792902850493,7.163317e-05,4.19477,20.83570971495055
